51805n,Swamp of Spirits,F.L.U.D.D.3001,4.33,0,3,3,0
51804n,25quared #6 (2018) hub level,Jhynjhiruu,5.00,0,3,3,0
51803n,SM64 Remake: Bowser in the Fire Sea,ALFA,5.00,0,3,3,0
51800n,The Astrogeological Garden,Charcoal,5.00,0,3,3,0
51799n,Fighting Dojo,F.L.U.D.D.3001,4.00,0,3,3,0
51793n,Frost Citadel,FluorescenceLight,5.00,0,3,3,0
51792n,Silent Seabed,FluorescenceLight,5.00,0,3,3,0
51788n,The Grand Invasion,BonnieBuBunny,0.00,0,0,0,0
51787n,JINJIN,gjwls90,0.00,0,0,0,0
51786n,classic fantastic,spencerd25,3.00,0,3,3,0
51785n,Vertical Jungle,asdfmoviecaleb,4.00,0,3,3,0
51784n,Library of Infinite Knowledge,CoreytheGreen,3.00,0,3,3,0
51783n,Mushroom Caves,CoreytheGreen,2.00,0,3,3,0
51780n,Comfortable Midnight,eiy,4.50,0,3,3,0
51779n,Mushroom Multifind,Verwex,4.00,0,3,3,0
51773n,SM64 Remake: Bowser in the Dark World,ALFA,4.00,0,3,3,0
51772n,Boze Bros,minderia,3.00,0,3,3,0
51771n,Ecks Dee Dee Dee,eiy,3.00,0,3,3,0
51768n,Skills test A,Timeflow,2.00,0,3,3,0
51766n,Cosmic Challenge,spencerd25,3.00,0,3,3,0
51764n,Unliragute Adventure,minderia,1.00,0,3,3,0
51762n,La kaizo adventuria,minderia,2.00,0,3,3,0
51761n,Rashay's Moon Cellar,W!F! !S G00D,1.00,0,3,3,0
51758n,Space Climb,CBoy88,1.00,0,3,3,0
51754n,Bullet Castle,Super legenda,2.50,0,3,3,0
51750n,PoTQ Vol.2,Trong Browne,3.00,0,3,3,0
51748n,Bowser in the Dark World Remake,AquaYoshi,4.50,0,3,3,0
51747n,5 Spacial Stars,SuperMario65,3.00,0,3,3,0
51743n,Red Coin Ultra-Dash,SuperMario65,4.50,0,3,3,0
51742n,Red Coin Climb BETA,SuperMario65,4.00,0,3,3,0
51741n,Champion's Path,_KillerX_,4.33,0,3,3,0
51740n,Red Coins in the Cavern,_KillerX_,5.00,0,3,3,0
51739n,Cerulean Chasm,Ciirulean,5.00,0,3,3,0
51738n,Frozen Fire,~Yuri,5.00,0,3,3,0
51737n,The Return,DuoMastr,5.00,0,3,3,0
51731n,Re: Snowflakes Village,FluorescenceLight,5.00,0,3,3,0
51725n,The Twinkly Starlight,Jumbo101,5.00,0,3,3,0
51724n,Cold Cliff,FluorescenceLight,5.00,0,3,3,0
51722n,Goodbye Runouw,eiy,0.00,0,0,0,0
51720n,Cracked Castle Area,eiy,5.00,0,3,3,0
